SORA Publication Date,SORA
01 Sep 2011,0.0559
02 Sep 2011,0.0304
05 Sep 2011,0.0422
06 Sep 2011,0.0294
07 Sep 2011,0.0363
08 Sep 2011,0.0399
09 Sep 2011,0.0501
12 Sep 2011,0.0547
13 Sep 2011,0.0697
14 Sep 2011,0.0561
15 Sep 2011,0.0613
16 Sep 2011,0.0772
19 Sep 2011,0.0614
20 Sep 2011,0.0373
21 Sep 2011,0.0690
22 Sep 2011,0.0527
23 Sep 2011,0.0596
26 Sep 2011,0.0848
27 Sep 2011,0.0731
28 Sep 2011,0.0692
29 Sep 2011,0.0308
30 Sep 2011,0.0204
03 Oct 2011,0.0476
04 Oct 2011,0.0736
05 Oct 2011,0.0483
06 Oct 2011,0.0477
07 Oct 2011,0.0288
10 Oct 2011,0.0221
11 Oct 2011,0.0227
12 Oct 2011,0.0287
13 Oct 2011,0.0285
14 Oct 2011,0.0300
17 Oct 2011,0.0448
18 Oct 2011,0.0941
19 Oct 2011,0.0602
20 Oct 2011,0.0741
21 Oct 2011,0.0664
24 Oct 2011,0.0611
25 Oct 2011,0.0535
27 Oct 2011,0.0602
28 Oct 2011,0.0547
31 Oct 2011,0.0495
01 Nov 2011,0.0844
02 Nov 2011,0.0867
03 Nov 2011,0.1044
04 Nov 2011,0.0468
08 Nov 2011,0.0205
09 Nov 2011,0.0328
10 Nov 2011,0.0265
11 Nov 2011,0.0431
14 Nov 2011,0.0396
15 Nov 2011,0.0227
16 Nov 2011,0.0232
17 Nov 2011,0.0361
18 Nov 2011,0.0571
21 Nov 2011,0.1046
22 Nov 2011,0.1846
23 Nov 2011,0.2282
24 Nov 2011,0.0828
25 Nov 2011,0.0379
28 Nov 2011,0.0586
29 Nov 2011,0.0452
30 Nov 2011,0.0726
01 Dec 2011,0.0424
02 Dec 2011,0.0268
05 Dec 2011,0.0222
06 Dec 2011,0.0272
07 Dec 2011,0.0311
08 Dec 2011,0.0499
09 Dec 2011,0.0444
12 Dec 2011,0.0792
13 Dec 2011,0.0588
14 Dec 2011,0.0617
15 Dec 2011,0.1281
16 Dec 2011,0.0716
19 Dec 2011,0.0377
20 Dec 2011,0.0291
21 Dec 2011,0.0367
22 Dec 2011,0.0319
23 Dec 2011,0.0407
27 Dec 2011,0.0341
28 Dec 2011,0.0523
29 Dec 2011,0.0345
30 Dec 2011,0.0480
03 Jan 2012,0.1011
